id,equipment_type,equipment_name,maker,type_of_maintenance,frequency,parts_required
0,Dishwasher,Series 6 SMS6ZCI48E,Bosch,Clean filter,Monthly,None
1,Dishwasher,WDT750SAKZ,Whirlpool,Descale,Quarterly,Descaling solution
2,Dishwasher,KDTM404KPS,KitchenAid,Check spray arms,Bi-monthly,None
3,Dishwasher,G 7316 SCU,Miele,Replace rinse aid,As needed,Rinse aid
4,Dishwasher,GDT665SSNSS,GE,Clean door seal,Monthly,Soft cloth
5,Dishwasher,DW80R9950UG,Samsung,Unclog drain,Bi-annually,None
6,Dishwasher,LDP6810SS,LG,Check water inlet valve,Annually,Replacement valve (if needed)
7,Dishwasher,MDB8959SKZ,Maytag,Inspect hoses,Annually,Replacement hoses (if needed)
8,Dishwasher,FDPC4660AS,Frigidaire,Clean interior,Monthly,All-purpose cleaner
9,Dishwasher,13803,Kenmore,Lubricate hinges,Annually,Food-grade lubricant
10,Dishwasher,Series 4 SMS46MI01G,Bosch,Wipe control panel,Weekly,Microfiber cloth
11,Dishwasher,WDF520PADM,Whirlpool,Clean exterior,Monthly,All-purpose cleaner
12,Dishwasher,KDFE104HPS,KitchenAid,Tighten drain hose,Annually,Screwdriver
13,Dishwasher,G 5000 SC,Miele,Check water hardness,Bi-annually,Water testing kit
14,Dishwasher,GDF630PMMES,GE,Replace detergent dispenser,As needed,Replacement dispenser
15,Dishwasher,DW80R2031US,Samsung,Clean spray arm nozzles,Quarterly,Toothpick or wire
16,Dishwasher,LDF5545ST,LG,Inspect electrical connections,Annually,None
17,Dishwasher,MDB7959SFZ,Maytag,Clean silverware basket,Monthly,Dish soap
18,Dishwasher,FFID2426TS,Frigidaire,Check for leaks,Monthly,None
19,Dishwasher,14573,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
20,Dishwasher,Series 8 SHXM78Z55N,Bosch,Calibrate sensors,Annually,None
21,Dishwasher,WDT970SAHZ,Whirlpool,Clean drain pump,Bi-annually,None
22,Dishwasher,KDTM384ESS,KitchenAid,Lubricate door latch,Annually,Silicone lubricant
23,Dishwasher,G 7100 SCU,Miele,Update software,As available,None
24,Dishwasher,GDP645SYNFS,GE,Replace leveling legs,As needed,Replacement legs
25,Dishwasher,DW80R7061UG,Samsung,Clean air gap,Quarterly,Bottle brush
26,Dishwasher,LDT7808BD,LG,Descale heating element,Annually,Vinegar solution
27,Dishwasher,MDB7949SDZ,Maytag,Check float switch,Bi-annually,None
28,Dishwasher,FGIP2468UF,Frigidaire,Tighten rack rollers,Annually,Pliers
29,Dishwasher,14009,Kenmore,Replace door gasket,Every 2 years,New door gasket
30,Dishwasher,Series 2 SGE68X55UC,Bosch,Clean cutlery tray,Weekly,Dish soap
31,Dishwasher,WDTA50SAHZ,Whirlpool,Inspect pump impeller,Annually,Flashlight
32,Dishwasher,KDPM604KPS,KitchenAid,Clean water inlet screen,Bi-annually,Small brush
33,Dishwasher,G 5890 SCVi,Miele,Check drain pump,Annually,None
34,Dishwasher,GDT530PSPSS,GE,Replace spray arm bearings,As needed,Replacement bearings
35,Dishwasher,DW80R5060US,Samsung,Clean detergent dispenser,Monthly,Soft brush
36,Dishwasher,LDP6797ST,LG,Inspect heating element,Annually,Multimeter
37,Dishwasher,MDB4949SKZ,Maytag,Clean wash arms,Quarterly,Vinegar solution
38,Dishwasher,FFCD2418US,Frigidaire,Check timer,Annually,None
39,Dishwasher,14702,Kenmore,Lubricate pump motor,Every 2 years,Motor oil
40,Dishwasher,Series 4 SHS863WD5N,Bosch,Replace water softener,As needed,Salt pellets
41,Dishwasher,WDF540PADM,Whirlpool,Clean control panel,Weekly,Microfiber cloth
42,Dishwasher,KDTM354ESS,KitchenAid,Check door balance,Bi-annually,None
43,Dishwasher,G 4228 SCU,Miele,Inspect spray arm seals,Annually,Replacement seals (if needed)
44,Dishwasher,GDF510PGMWW,GE,Clean interior light,As needed,Glass cleaner
45,Dishwasher,DW80J3020US,Samsung,Tighten handle screws,Annually,Screwdriver
46,Dishwasher,LDP6797BM,LG,Check for unusual noises,Monthly,None
47,Dishwasher,MDB8959SKB,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
48,Dishwasher,FDSH4501AS,Frigidaire,Inspect drain hose,Annually,Flashlight
49,Dishwasher,13479,Kenmore,Replace soap dispenser,As needed,Replacement dispenser
50,Dishwasher,Series 6 SHEM63W55N,Bosch,Check water temperature,Quarterly,Thermometer
51,Dishwasher,WDT730PAHZ,Whirlpool,Clean interior corners,Monthly,Old toothbrush
52,Dishwasher,KDTE334GPS,KitchenAid,Inspect door springs,Annually,None
53,Dishwasher,G 6660 SCVi,Miele,Replace water inlet valve,As needed,New inlet valve
54,Dishwasher,GDF645SSNSS,GE,Clean filter housing,Monthly,Soft brush
55,Dishwasher,DW80R5061US,Samsung,Check for error codes,Monthly,None
56,Dishwasher,LDP6810BD,LG,Inspect drain pump filter,Quarterly,None
57,Dishwasher,MDB7959SKZ,Maytag,Clean door edges,Monthly,Damp cloth
58,Dishwasher,FFID2426TD,Frigidaire,Check water pressure,Bi-annually,Pressure gauge
59,Dishwasher,14573,Kenmore,Inspect control board,Annually,None
60,Dishwasher,Series 8 SHPM88Z75N,Bosch,Replace spray arms,As needed,New spray arms
61,Dishwasher,WDT975SAHV,Whirlpool,Clean silverware basket,Weekly,Dish soap
62,Dishwasher,KDTM404ESS,KitchenAid,Check float switch,Bi-annually,None
63,Dishwasher,G 7366 SCVi,Miele,Inspect door latch,Annually,None
64,Dishwasher,GDP665SYNFS,GE,Clean air gap,Quarterly,Bottle brush
65,Dishwasher,DW80R9950UT,Samsung,Replace rinse aid dispenser,As needed,New dispenser
66,Dishwasher,LDT7808SS,LG,Check for leaks,Monthly,None
67,Dishwasher,MDB8959SKW,Maytag,Clean exterior,Weekly,All-purpose cleaner
68,Dishwasher,FGID2476SF,Frigidaire,Inspect drain hose,Annually,None
69,Dishwasher,14469,Kenmore,Replace detergent dispenser,As needed,New dispenser
70,Dishwasher,Series 6 SHP865ZP5N,Bosch,Check water inlet temperature,Quarterly,Thermometer
71,Dishwasher,WDT730PAHZ,Whirlpool,Clean control panel,Weekly,Microfiber cloth
72,Dishwasher,KDTM354DSS,KitchenAid,Inspect spray arm bearings,Annually,None
73,Dishwasher,G 5890 SCVi,Miele,Replace water softener salt,As needed,Salt pellets
74,Dishwasher,GDT665SGNWW,GE,Clean interior light,As needed,Glass cleaner
75,Dishwasher,DW80R7061UG,Samsung,Tighten handle screws,Annually,Screwdriver
76,Dishwasher,LDP6797ST,LG,Check for unusual noises,Monthly,None
77,Dishwasher,MDB7959SHZ,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
78,Dishwasher,FFCD2413US,Frigidaire,Inspect drain pump,Annually,Flashlight
79,Dishwasher,13803,Kenmore,Lubricate door hinges,Annually,Food-grade lubricant
80,Dishwasher,Series 4 SHXM4AY55N,Bosch,Check water hardness,Bi-annually,Water testing kit
81,Dishwasher,KDFE104HBS,KitchenAid,Tighten drain hose,Annually,Screwdriver
82,Dishwasher,G 4228 SCU,Miele,Check rinse aid level,Weekly,None
83,Dishwasher,GDF530PGMWW,GE,Replace detergent dispenser,As needed,Replacement dispenser
84,Dishwasher,DW80J3020US,Samsung,Clean spray arm nozzles,Quarterly,Toothpick or wire
85,Dishwasher,LDF5545BD,LG,Inspect electrical connections,Annually,None
86,Dishwasher,MDB4949SKZ,Maytag,Clean silverware basket,Monthly,Dish soap
87,Dishwasher,14009,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
88,Dishwasher,Series 6 SHX865ZP5N,Bosch,Calibrate sensors,Annually,None
89,Dishwasher,WDT970SAHV,Whirlpool,Clean drain pump,Bi-annually,None
90,Dishwasher,DW80R7061US,Samsung,Clean air gap,Quarterly,Bottle brush
91,Dishwasher,14702,Kenmore,Replace door gasket,Every 2 years,New door gasket
92,Dishwasher,13479,Kenmore,Lubricate pump motor,Every 2 years,Motor oil
93,Dishwasher,14573,Kenmore,Replace soap dispenser,As needed,Replacement dispenser
94,Dishwasher,14469,Kenmore,Inspect control board,Annually,None
95,Dishwasher,13803,Kenmore,Replace detergent dispenser,As needed,New dispenser
96,Dishwasher,14009,Kenmore,Lubricate door hinges,Annually,Food-grade lubricant
97,Dishwasher,14702,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
98,Dishwasher,Series 6 SHX865ZN5N,Bosch,Clean filter,Monthly,None
99,Dishwasher,WDT975SAHZ,Whirlpool,Descale,Quarterly,Descaling solution
100,Dishwasher,KDTM404KBS,KitchenAid,Check spray arms,Bi-monthly,None
101,Dishwasher,G 7566 SCVi,Miele,Replace rinse aid,As needed,Rinse aid
102,Dishwasher,LDP7808BD,LG,Check water inlet valve,Annually,Replacement valve (if needed)
103,Dishwasher,MDB9959SKZ,Maytag,Inspect hoses,Annually,Replacement hoses (if needed)
104,Dishwasher,FPID2498SF,Frigidaire,Clean interior,Monthly,All-purpose cleaner
105,Dishwasher,14573,Kenmore,Lubricate hinges,Annually,Food-grade lubricant
106,Dishwasher,Series 4 SGV4HCX40N,Bosch,Wipe control panel,Weekly,Microfiber cloth
107,Dishwasher,WDF518SAHM,Whirlpool,Clean exterior,Monthly,All-purpose cleaner
108,Dishwasher,G 5000 SCI,Miele,Check water hardness,Bi-annually,Water testing kit
109,Dishwasher,GDP630PYRFS,GE,Replace detergent dispenser,As needed,Replacement dispenser
110,Dishwasher,LDT7808SS,LG,Inspect electrical connections,Annually,None
111,Dishwasher,MDB7959SKZ,Maytag,Clean silverware basket,Monthly,Dish soap
112,Dishwasher,FFID2426TD,Frigidaire,Check for leaks,Monthly,None
113,Dishwasher,13273,Kenmore,Replace water inlet hose,Every 5 years,New inlet hose
114,Dishwasher,Series 8 SHPM88Z75N,Bosch,Calibrate sensors,Annually,None
115,Dishwasher,G 7100 SC,Miele,Update software,As available,None
116,Dishwasher,GDF645SMNES,GE,Replace leveling legs,As needed,Replacement legs
117,Dishwasher,LDP6810SS,LG,Descale heating element,Annually,Vinegar solution
118,Dishwasher,MDB8959SFZ,Maytag,Check float switch,Bi-annually,None
119,Dishwasher,Series 2 SGE53X55UC,Bosch,Clean cutlery tray,Weekly,Dish soap
120,Dishwasher,WDTA50SAKZ,Whirlpool,Inspect pump impeller,Annually,Flashlight
121,Dishwasher,KDPM604KBS,KitchenAid,Clean water inlet screen,Bi-annually,Small brush
122,Dishwasher,GDT530PSMSS,GE,Replace spray arm bearings,As needed,Replacement bearings
123,Dishwasher,DW80R5061US,Samsung,Clean detergent dispenser,Monthly,Soft brush
124,Dishwasher,LDF5545ST,LG,Inspect heating element,Annually,Multimeter
125,Dishwasher,MDB4949SDZ,Maytag,Clean wash arms,Quarterly,Vinegar solution
126,Dishwasher,13092,Kenmore,Lubricate pump motor,Every 2 years,Motor oil
127,Dishwasher,WDF330PAHW,Whirlpool,Clean control panel,Weekly,Microfiber cloth
128,Dishwasher,GDF510PSMSS,GE,Clean interior light,As needed,Glass cleaner
129,Dishwasher,DW80J7550US,Samsung,Tighten handle screws,Annually,Screwdriver
130,Dishwasher,MDB7959SKB,Maytag,Clean turbidity sensor,Bi-annually,Soft cloth
131,Dishwasher,14699,Kenmore,Replace soap dispenser,As needed,Replacement dispenser
132,Dishwasher,Series 6 SHP865ZP5N,Bosch,Check water temperature,Quarterly,Thermometer
133,Dishwasher,KDTE334GBS,KitchenAid,Inspect door springs,Annually,None
134,Dishwasher,GDF645SGNWW,GE,Clean filter housing,Monthly,Soft brush
135,Dishwasher,DW80R5060US,Samsung,Check for error codes,Monthly,None
136,Dishwasher,MDB7959SHZ,Maytag,Clean door edges,Monthly,Damp cloth
137,Dishwasher,FFID2426TS,Frigidaire,Check water pressure,Bi-annually,Pressure gauge
138,Dishwasher,14479,Kenmore,Inspect control board,Annually,None
139,Dishwasher,Series 8 SHPM78Z55N,Bosch,Replace spray arms,As needed,New spray arms
140,Dishwasher,WDT750SAKZ,Whirlpool,Clean silverware basket,Weekly,Dish soap
141,Dishwasher,LDT7808ST,LG,Check for leaks,Monthly,None
142,Dishwasher,WDT970SAHZ,Whirlpool,Clean control panel,Weekly,Microfiber cloth
143,Dishwasher,14573,Kenmore,Lubricate door hinges,Annually,Food-grade lubricant
144,Dishwasher,Series 6 SHX865ZN5N,Bosch,Calibrate sensors,Annually,None
145,Dishwasher,WDT975SAHZ,Whirlpool,Clean drain pump,Bi-annually,None
146,Dishwasher,KDTM404KBS,KitchenAid,Lubricate door latch,Annually,Silicone lubricant
147,Dishwasher,G 7566 SCVi,Miele,Update software,As available,None
148,Dishwasher,GDT665SSNSS,GE,Replace leveling legs,As needed,Replacement legs
149,Dishwasher,DW80R9950UG,Samsung,Clean air gap,Quarterly,Bottle brush
150,Dishwasher,LDP7808BD,LG,Descale heating element,Annually,Vinegar solution
151,Dishwasher,MDB9959SKZ,Maytag,Check float switch,Bi-annually,None
152,Dishwasher,FPID2498SF,Frigidaire,Tighten rack rollers,Annually,Pliers
153,Dishwasher,14573,Kenmore,Replace door gasket,Every 2 years,New door gasket
154,Dishwasher,SHPM65Z55N,Bosch,Inspect telescopic rails,Annually,None
155,Dishwasher,WDTA80SAK,Whirlpool,Clean condenser coils,Bi-annually,Coil brush
156,Dishwasher,KDTM504EPA,KitchenAid,Replace water distribution arm,As needed,New distribution arm
157,Dishwasher,G 7960 SCVi,Miele,Calibrate soil sensors,Annually,None
158,Dishwasher,PDT785SYNFS,GE,Clean sump area,Quarterly,Soft brush
159,Dishwasher,DW80R7070UG,Samsung,Inspect and clean sump filter,Monthly,None
160,Dishwasher,LDT7808BM,LG,Replace circulation pump,As needed,New circulation pump
161,Dishwasher,MDB9979SKZ,Maytag,Clean and lubricate rack adjuster,Bi-annually,Food-grade lubricant
162,Dishwasher,FGIP2468UF,Frigidaire,Replace touchpad membrane,As needed,New membrane switch
163,Dishwasher,17489,Kenmore,Inspect and clean ventilation fan,Annually,Compressed air
164,Dishwasher,SHE89PW55N,Bosch,Replace aquastop hose,Every 5 years,New aquastop hose
165,Dishwasher,WDF560SAFM,Whirlpool,Clean and sanitize cutlery tray,Monthly,Sanitizing solution
166,Dishwasher,KDTM704KPS,KitchenAid,Inspect and clean flood switch,Annually,None
167,Dishwasher,G 5690 SCVi,Miele,Replace door counterbalance spring,As needed,New counterbalance spring
168,Dishwasher,GDT696SSNSS,GE,Clean and descale heating element,Annually,Descaling solution
169,Dishwasher,DW80R9350UG,Samsung,Inspect and clean water reflector,Quarterly,Soft cloth
170,Dishwasher,LDP7808SS,LG,Replace door seal,Every 3-5 years,New door seal
171,Dishwasher,MDB8959SFZ,Maytag,Inspect and clean overflow float switch,Bi-annually,None
172,Dishwasher,FFID2426TD,Frigidaire,Replace dispenser actuator,As needed,New actuator
173,Dishwasher,13033,Kenmore,Clean and lubricate door latch assembly,Annually,Silicone lubricant
174,Dishwasher,SMV88TX02A,Bosch,Inspect and clean turbidity sensor,Quarterly,Soft cloth
175,Dishwasher,WDT750SAKW,Whirlpool,Replace drain pump,As needed,New drain pump
176,Dishwasher,KDTM354DSS,KitchenAid,Clean and descale spray arms,Bi-annually,Descaling solution
177,Dishwasher,G 7310 SC,Miele,Inspect and clean salt container,Monthly,None
178,Dishwasher,GDP665SYNFS,GE,Replace circulation pump capacitor,As needed,New capacitor
179,Dishwasher,DW80K7050UG,Samsung,Clean and sanitize door gasket,Monthly,Sanitizing solution
180,Dishwasher,LDF5545SS,LG,Inspect and clean water inlet valve screen,Bi-annually,Small brush
181,Dishwasher,MDB7959SKZ,Maytag,Replace upper dishrack wheels,As needed,New dishrack wheels
182,Dishwasher,FGID2466QF,Frigidaire,Clean and descale float switch,Annually,Descaling solution
